"title","author","subject","abstract","date"
"nn-defined modulator: reconfigurable and portable software modulator on iot gateways","jiazhao wang, wenchao jiang, ruofeng liu, bin hu, demin gao, shuai wang","emerging technologies","a physical-layer modulator is a vital component for an iot gateway to map the symbols to signals. however, due to the soldered hardware chipsets on the gateway's motherboards or the diverse toolkits on different platforms for the software radio, the existing solutions either have limited extensibility or are platform-specific. such limitation is hard to ignore when modulation schemes and hardware platforms have become extremely diverse. this paper presents a new paradigm of using neural networks as an abstraction layer for physical layer modulators in iot gateway devices, referred to as nn-defined modulators. our approach addresses the challenges of extensibility and portability for multiple technologies on various hardware platforms. the proposed nn-defined modulator uses a model-driven methodology rooted in solid mathematical foundations while having native support for hardware acceleration and portability to heterogeneous platforms. we conduct the evaluation of nn-defined modulators on different platforms, including nvidia jetson nano and raspberry pi. evaluations demonstrate that our nn-defined modulator effectively operates as conventional modulators and provides significant efficiency gains (up to $4.7\times$ on nvidia jetson nano and $1.1\times$ on raspberry pi), indicating high portability. furthermore, we show the real-world applications using our nn-defined modulators to generate zigbee and wifi packets, which are compliant with commodity ti cc2650 (zigbee) and intel ax201 (wifi nic), respectively.",2024-03-14
"the image of an analytic map germ","cezar joiţa, mihai tibăr","complex variables","the image of a holomorphic map germ is not necessarily locally open, and it is not always well-defined as a set germ. we find the structure of what becomes the image of a map germ in case the target is a surface.",2024-03-14
"$k_1$-invariants in the mod $p$ cohomology of $u(3)$ arithmetic manifolds","daniel le, bao viet le hung, stefano morra","number theory","let $f/f^+$ be a cm extension and $h_{/f^+}$ a definite unitary group in three variables that splits over $f$. we describe hecke isotypic components of mod $p$ algebraic modular forms on $h$ at first principal congruence level at $p$ and ""minimal"" level away from $p$ in terms of the restrictions of the associated galois representation to decomposition groups at $p$ when these restrictions are tame and sufficiently generic. this confirms an expectation of local-global compatibility in the mod $p$ langlands program. to prove our result, we develop a local model theory for multitype deformation rings and new methods to work with patched modules that are not free over their scheme-theoretic support.",2024-03-14
"boundedness of composition operator in orlicz-morrey spaces","masahiro ikeda, isao ishikawa, ryota kawasumi","functional analysis","in this paper, we investigate necessary and sufficient conditions on the boundedness of composition operators on the orlicz-morrey spaces. the results of boundedness include lebesgue and generalized morrey spaces as special cases. further, we characterize the boundedness of composition operators on the weak orlicz-morrey spaces. the weak orlicz-morrey spaces contain the orlicz-morrey spaces.",2024-03-14
"subharmonic lock-in detection and its optimisation for femtosecond noise correlation spectroscopy","m. a. weiss, f. s. herbst, s. eggert, m. nakajima, a. leitenstorfer, s. t. b. goennenwein, t. kurihara","optics","although often viewed as detrimental, fluctuations carry valuable information about the physical system from which they emerge. femtosecond noise correlation spectroscopy (femnoc) has recently been established to probe the ultrafast fluctuation dynamics of thermally populated magnons by measurement of their amplitude autocorrelation. subharmonic lock-in detection is the key technique in this method, allowing to extract the pulse-to-pulse polarisation fluctuations of two femtosecond optical pulse trains transmitted through a magnetic sample. here, we present a thorough technical description of the subharmonic demodulation technique and of the femnoc measurement system. we mathematically model the data acquisition process and identify the essential parameters which critically influence the signal-to-noise ratio of the signals. comparing the model calculations to real datasets allows validating the predicted parameter dependences and provides a means to optimise femnoc experiments.",2024-03-14
"discrete besov spaces via semigroups associated to the discrete laplacian and regularity of non-local operators","luciano abadias, marta de león-contreras, alejandro mahillo","classical analysis and odes","in this paper we prove characterizations of the discrete besov spaces in terms of the heat and poisson semigroups associated with the discrete laplacian that will allow us to prove regularity results for the fractional powers of the discrete laplacian and the discrete bessel potentials. moreover, we provide new estimates for the derivatives of the discrete heat kernel and semigroup which are of independent interest.",2024-03-14
"one-shot learning for mips with sos1 constraints","charly robinson la rocca, jean-françois cordeau, emma frejinger","optimization and control","efficient algorithms and solvers are required to provide optimal or near-optimal solutions quickly and enable organizations to react promptly to dynamic situations such as supply chain disruptions or changing customer demands. state-of-the-art mixed-integer programming (mip) solvers are crafted to tackle a wide variety of problems, yet many real-world situations are characterized by problem instances that originate from a narrow distribution. this has inspired the creation of tailored approaches that exploit historical data to inform heuristic design. deep learning (dl) methods are typically used in this context to extract patterns from data, but they require large datasets and comprehensive hyperparameter tuning for strong performance. this article describes a one-shot learning heuristic that leverages solutions discovered within the branch-and-bound tree to construct a model with minimal overhead. we evaluate our method on the locomotive assignment problem (lap) and sets of miplib instances that contain constraints based on special ordered sets of type 1. experimental results include a comparison with multiple primal heuristics and state-of-the-art mip solvers. we show that the method is most effective with cplex in terms of the average primal gap.",2024-03-14
"revealing hidden physical nonclassicality with nonnegative polynomials","ties-a. ohst, benjamin yadin, birte ostermann, timo de wolff, otfried gühne, hai-chau nguyen","quantum physics","understanding quantum phenomena which go beyond classical concepts is a focus of modern quantum physics. here, we show how the theory of nonnegative polynomials emerging around hilbert's 17th problem, can be used to optimally exploit data capturing the nonclassical nature of light. specifically, we show that nonnegative polynomials can reveal nonclassicality in data even when it is hidden from standard detection methods up to now. moreover, the abstract language of nonnegative polynomials also leads to a unified mathematical approach to nonclassicality for light and spin systems, allowing us to map methods for one to the other. conversely, the physical problems arising also inspire several mathematical insights into characterisation of nonnegative polynomials.",2024-03-14
"tiny non-leighton complexes","natalia s. dergacheva, anton a. klyachko","geometric topology","how many 2-cells must contain two finite pseudo-simplicial 2-complexes to admit a common, but not finite common, covering? we obtain an almost answer: the minimum possible number of 2-cells is 3, 4, or 5 (in each complex).",2024-03-14
"perturbative expansion of yang-baxter operators","emanuele zappala","quantum algebra","we study the deformations of a wide class of yang-baxter (yb) operators arising from lie algebras. we relate the higher order deformations of yb operators to lie algebra deformations. we show that the obstruction to integrating deformations of self-distributive (sd) objects lie in the corresponding lie algebra third cohomology group, and interpret this result in terms of yb deformations. we show that there are yb operators that admit integrable deformations (i.e. that can be deformed infinitely many times), and that therefore give rise to a full perturbative series in the deformation parameter $\hbar$. we consider the second cohomology group of yb operators corresponding to certain types of lie algebras, and show that this can be nontrivial even if the lie algebra is rigid, providing examples of nontrivial yb deformations that do not arise from sd deformations.",2024-03-14
"an ozsváth--szabó-type spectral sequence for links in $s^1\times s^2$","jesse cohen","geometric topology","we show that there is a spectral sequence with $e^2$-page given by the khovanov homology of a link in $s^1\times s^2$, as defined by rozansky in arxiv:1011.1958, which converges to the hochschild homology of an $a_\infty$-bimodule defined in terms of bordered floer invariants. we also show that the homology algebras $h_*\mathfrak{h}_n$ of the algebras $\mathfrak{h}_n$ over which these bimodules are defined give nontrivial $a_\infty$-deformations of khovanov's arc algebras $h_n$ for $n>1$.",2024-03-14
"into multiplier hopf ($*$-)graph algebras","farrokh razavinia, ghorbanali haghighatdoost","quantum algebra","this paper is concerned with the structures introduced recently by the authors of the current paper concerning the multiplier hopf $*$-graph algebras and also the cuntz-krieger algebras and their relations with the $c^*$-graph algebras, and once again by using the $c^*$-graph algebra constructions associated to our toy example, to initiate our first example concerning the multiplier hopf graph algebras.",2024-03-14
"relatively functionally countable subsets of products","anton lipin","general topology","a subset $a$ of a topological space $x$ is called relatively functionally countable (rfc) in $x$, if for each continuous function $f : x \to \mathbb{r}$ the set $f[a]$ is countable. we prove that all rfc subsets of a product $\prod\limits_{n\in\omega}x_n$ are countable, assuming that spaces $x_n$ are tychonoff and all rfc subsets of every $x_n$ are countable. in particular, in a metrizable space every rfc subset is countable. the main tool in the proof is the following result: for every tychonoff space $x$ and any countable set $q \subseteq x$ there is a continuous function $f : x^\omega \to \mathbb{r}^2$ such that the restriction of $f$ to $q^\omega$ is injective.",2024-03-14
"eigenvariety for partially classical hilbert modular forms","mladen dimitrov, chi-yun hsu","number theory","let $f$ be a totally real field and $p$ a rational prime unramified in $f$. for each subset $p$ of primes of $f$ above $p$, there is the notion of partially classical hilbert modular forms, where $p=\varnothing$ recovers the overconvergent forms and $p$ being the full set of primes above $p$ recovers classical forms. given $p$, we $p$-adically interpolate the classical modular sheaves to construct families of partially classical hilbert modular forms with weights varying in appropriate weight spaces. we then construct the corresponding eigenvariety, which recovers the eigenvariety constructed by andreatta--iovita--pilloni when $p=\varnothing$. by contrast, it is unclear whether each partially classical form can be put into a partially classical family.",2024-03-14
"existence and uniqueness for the solutions of non-autonomous stochastic differential algebraic equations with locally lipschitz coefficients","oana silvia serea, antoine tambue, guy tsafack","probability","in this paper, we study the well-posedness and regularity of non-autonomous stochastic differential algebraic equations (sdaes) with nonlinear, locally lipschitz and monotone (2) coefficients of the form (1). the main difficulty is the fact that the operator a(.) is non-autonomous, i.~e. depends on t and the matrix $a(t)$ is singular for all $t\in \left[0,t\right]$. our interest is in sdae of index-1. this means that in order to solve the problem, we can transform the initial sdaes into an ordinary stochastic differential equation with algebraic constraints. under appropriate hypothesizes, the main result establishes the existence and uniqueness of the solution in $\mathcal{m}^p(\left[0, t\right], \mathbb{r}^n)$, $p\geq 2$, $p\in \mathbb{n}$. several strong estimations and regularity results are also provided. note that, in this paper, we use various techniques such as itô's lemma, burkholder-davis-gundy inequality, and young inequality.",2024-03-14
"the geometry of gtps and 5d scfts","guillermo arias-tamargo, sebastián franco, diego rodríguez-gómez","high energy physics - theory","we make progress in understanding the geometry associated to the generalized toric polygons (gtps) encoding the physics of 5d superconformal field theories (scfts), by exploiting the connection between hanany-witten transitions and the mathematical notion of polytope mutations. from this correspondence, it follows that the singular geometry associated to a gtp is identical to that obtained by regarding it as a standard toric diagram, but with some of its resolutions frozen in way that can be determined from the invariance of the so-called period under mutations. we propose the invariance of the period as a new criterion for distinguishing inequivalent brane webs, which allows us to resolve a puzzle posed in the literature. a second mutation invariant is the hilbert series of the geometry. we employ this invariant to perform quantitative checks of our ideas by computing the hilbert series of the bps quivers associated to theories related by mutation. lastly, we discuss the physical interpretation of a mathematical result ensuring the existence of a flat fibration over $\mathbb{p}^1$ interpolating between geometries connected by mutation, which we identify with recently introduced deformations of the corresponding bps quivers.",2024-03-14
"on the impact of co-optimizing station locations, trip assignment, and charging schedules for electric buses","rito brata nath, tarun rambha, maximilian schiffer","optimization and control","as many public transportation systems around the world transition to electric buses, the planning and operation of fleets can be improved via tailored decision-support tools. in this work, we study the impact of jointly locating charging facilities, assigning electric buses to trips, and determining when and where to charge the buses. we propose a mixed integer linear program that co-optimizes planning and operational decisions jointly and an iterated local search heuristic to solve large-scale instances. herein, we use a concurrent scheduler algorithm to generate an initial feasible solution, which serves as a starting point for our iterated local search algorithm. in the sequential case, we first optimize trip assignments and charging locations. charging schedules are then determined after fixing the optimal decisions from the first level. the joint model, on the other hand, integrates charge scheduling within the local search procedure. the solution quality of the joint and sequential iterated local search models are compared for multiple real-world bus transit networks. our results demonstrate that joint models can help further improve operating costs by 14.1% and lower total costs by about 4.1% on average compared with sequential models. in addition, energy consumption costs and contracted power capacity costs have been reduced significantly due to our integrated planning approach.",2024-03-14
"series for even powers of pi by generalization euler's method for solving the basel problem","alois schiessl","general mathematics","the purpose of this paper is to present series expansions for even powers of the number $\pi$. this is accomplished by generalizing euler's method for solving the basel problem, which was published in 1735. we employ elementary symmetric polynomials, transform them into nested sums, and thereby derive nice series formulas for even powers of the number $\pi$ such as \[ \frac{\pi^2}{3!}= \sum_{\ell_1=1}^\infty\frac{1}{\ell_1^2} \;;\quad\quad \frac{\pi^4}{5!} = \sum_{\ell_2=2}^\infty \sum_{\ell_1=1}^{\ell_2-1} \frac{1}{\ell_1^2\cdot\ell_2^2} \;;\quad\quad \frac{\pi^6}{7!}= \sum_{\ell_3=3}^\infty \sum_{\ell_2=2}^{\ell_3-1} \sum_{\ell_1=1}^{\ell_2-1}\frac{1}{\ell_1^2\cdot\ell_2^2\cdot\ell_3^2} \;;\quad\cdots \] many of these formulas do not seem to be widely known. -- in dieser abhandlung stellen wir ein verfahren vor, das die berechnung von reihen für geradzahlige potenzen von $\pi$ ermöglicht. die grundidee ist eine verallgemeinerung des verfahrens von euler, mit dem er 1735 das basler problem löste. wir stellen elementar-symmetrische polynome durch mehrfach verschachtelte summen dar und leiten davon reihen für geradzahlige potenzen der kreiszahl $\pi$ ab. die meisten der angegebenen reihen scheinen nicht so bekannt zu sein.",2024-03-14
"a short review on novel approaches for maximum clique problem: from classical algorithms to graph neural networks and quantum algorithms","raffaele marino, lorenzo buffoni, bogdan zavalnij","artificial intelligence","this manuscript provides a comprehensive review of the maximum clique problem, a computational problem that involves finding subsets of vertices in a graph that are all pairwise adjacent to each other. the manuscript covers in a simple way classical algorithms for solving the problem and includes a review of recent developments in graph neural networks and quantum algorithms. the review concludes with benchmarks for testing classical as well as new learning, and quantum algorithms.",2024-03-13
"the existence and asymptotic stability of plasma-sheaths to the full euler-poisson system","yao lei, yin haiyan, zhu mengmeng","analysis of pdes","the main concern of this paper is to study large-time behavior of the sheath to the full euler-poisson system. as is well known, the monotone stationary solution under the bohm criterion can be referred to as the sheath which is formed by interactions of plasma with wall. so far, the existence and asymptotic stability of stationary solutions in one-dimensional half space to the full euler-poisson system have been proved in \cite{dyz2021}. in the present paper, we extend the results in \cite{dyz2021} to $n$-dimensional ($n$=1,2,3) half space. by assuming that the velocity of the positive ion satisfies the bohm criterion at the far field, we establish the global unique existence and the large time asymptotic stability of the sheath in some weighted sobolev spaces by weighted energy method. moreover, the time-decay rates are also obtained. a key different point from \cite{dyz2021} is to derive some boundary estimates on the derivative of the potential in the $x_1$-direction.",2024-03-13
"proof and generalization of conjectures of ramanujan machine","shuma yamamoto","classical analysis and odes","the ramanujan machine project predicts new continued fraction representations of numbers expressed by important mathematical constants. generally, the value of a continued fraction is found by reducing it to a second order linear difference equation. in this paper, we prove 38 conjectures by solving the equation in two ways, use of a differential equation or application of petkovšek's algorithm. especially, in the former way, we can get strong generalization of 31 conjectures.",2024-03-13
"introductory notes on real-enriched categories","dexue zhang","category theory","real-enriched categories are categories with real numbers as enrichment. precisely, a real-enriched category is a category enriched over the commutative and unital quantale composed of the unit interval and a continuous t-norm. these notes present a brief introduction to real-enriched categories, focusing on the presheaf monad and its submonads in the category of such categories.",2024-03-12
"two-dimensional generalized gamma function and its applications","artem m. ponomarenko","general mathematics","in this article, we present a new two-dimensional generalization of the gamma function based on the product of the one-dimensional generalized beta function and the one-dimensional generalized gamma function. as will become clear later, this generalization is also a generalization the famous formula that gives the connection between the classical gamma and beta functions. next we present properties of this generalization, some series for the generalized beta function. as a practical application of the two-dimensional generalized gamma function, we will show how it can be used to represent a fairly wide class of double integrals in the form of functional series.",2024-03-10
"on one map between singular expansions","symon serbenyuk","general mathematics","the present article deals with properties of one map between two expansions of real numbers of the salem type. differential, integral, and other properties of the function were considered.",2024-03-04
"new generalizations of morrie's law and the euler product formula","carlos a. pérez aparicio","general mathematics","in this study, we derive the infinite product representation of the $\operatorname{sinc}(\mathrm{z})$ function by expressing it in a trigonometric form, evoking similarities to morrie's law and euler's product formula, along with their generalizations. the results presented in this investigation are entirely novel and are believed to introduce new insights into the topic.",2024-02-29
"a short note on the infinity product tan (z) function","carlos a. perez aparicio","general mathematics","we derive the infinite product of the tangent function expressed in terms of trigonometric expressions such as eulers sinc function and vietes formula, along with their generalizations. all the results presented in this work are novel.",2024-02-29
"a conditional singular value decomposition","qi deng","general mathematics","we propose a conditional singular value decomposition in the form of a_{mn} =h_{mk} b_{kl} m_{ln}^* for given general matrices a_{mn} and b_{kl} .",2024-02-26
"convexity properties related to gauss hypergeometric function","mohamed bouali","general mathematics","we investigate the convexity property on $(0,1)$ of the functions $\varphi_{a,b,c}$ and $1/\varphi_{a,b,c}$, where $$\varphi_{a,b,c}(x)= \frac{c-\log(1-x)}{\,_2f_1(a,b,a+b,x)},$$ whenever $a,b\geq 0$ and $a+b\leq 1$. we show that $\varphi_{a,b,c}$ (respectively $1/\varphi_{a,b,c}$) is strictly convex on $(0,1)$ if and only if $c\leq -2\gamma-\psi(a)-\psi(b),$ (respectively $c\geq\alpha_0$) and $\varphi_{a,b,c}$ (respectively $1/\varphi_{a,b,c}$) is strictly concave on $(0,1)$ if and only if $c\geq c(a,b)$ (respectively $c\in[\delta_-,\delta_+]$), where $\psi$ is the polygamma function. this generalizes some problems posed by yang and tian and complete the study of convexity properties of functions studied by the author in [bouali]. as applications of the convexity and concavity, we establish among other inequalities, that for all $x\in(0,1)$, $a,b\in[0,1]$, $a+b\leq 1$ and $c\geq c(a,b)$ $$c+\frac{\gamma(a)\gamma(b)}{\gamma(a+b)}\leq \frac{c-\log(1-x)}{\,_2f_1(a,b,a+b,x)}+\frac{c-\log(x)}{\,_2f_1(a,b,a+b,1-x)}\leq\frac{(2c+2\log 2)}{\,_2{f}_1(a,b;a+b;1/2)},$$ and for all $x\in(0,1)$, $a,b\in[0,1]$, $a+b\leq 1$ and $c\in [\delta_-,\delta_+]$ $$\frac1c+\frac{\gamma(a+b)}{\gamma(a)\gamma(b)}\leq \frac{\,_2f_1(a,b,a+b,x)}{c-\log(1-x)}+\frac{\,_2f_1(a,b,a+b,1-x)}{c-\log(x)}\leq\frac{\,_2{f}_1(a,b;a+b;1/2)}{(2c+2\log 2)}.$$",2024-02-22
